n,q,eta,alpha,cells,max_relative_depth_error,mean_relative_depth_error,global_cells,global_preserved,incumbent_on_boundary,D_min_min,D_mean_mean,D_geo_geomean,mean_log_volume_multiplier,cut_seconds,tol_cut,tol_cone
4,2,0.25,-0.25,4,1.23331307760032e-16,1.23331307760032e-17,4,1,1,1.625,1.71551884192284,1.71300257420498,2.69123861043742,0.017892,1e-09,1e-09
4,2,0.25,-0.5,4,1.15601407354935e-16,1.15601407354935e-17,4,1,1,1.75,1.84748182976306,1.84477200298997,3.06177847120602,0.0046725,1e-09,1e-09
4,2,0.25,-0.75,4,2.368475785867e-16,2.33581260826354e-17,4,1,1,1.875,1.97944481760328,1.97654143177497,3.40674282864078,0.0014495,1e-09,1e-09
4,2,0.5,-0.25,4,1.29105177429989e-16,1.29105177429989e-17,4,1,1,1.625,1.82993023223324,1.81749818379727,2.98730465569403,0.0015152,1e-09,1e-09
4,2,0.5,-0.5,4,1.17724421600894e-16,5.88622108004471e-18,4,1,1,1.75,1.97069409625118,1.95730573639706,3.35784451646264,0.001967,1e-09,1e-09
4,2,0.5,-0.75,4,2.368475785867e-16,3.40191069893508e-17,4,1,1,1.875,2.11145796026912,2.09711328899685,3.7028088738974,0.0013128,1e-09,1e-09
4,2,1,-0.25,4,0,0,4,1,1,1.625,2.19100724517818,2.1059020143692,3.72371942869579,0.0012947,1e-09,1e-09
4,2,1,-0.5,4,0,0,4,1,1,1.75,2.35954626403803,2.26789447701299,4.0942592894644,0.0019441,1e-09,1e-09
4,2,1,-0.75,4,2.368475785867e-16,1.1842378929335e-17,4,1,1,1.875,2.52808528289789,2.42988693965677,4.43922364689916,0.0013032,1e-09,1e-09
4,2,1.5,-0.25,4,1.27497541663578e-16,2.41527406353506e-17,4,1,1,1.625,3.09155393442467,2.6361842419648,4.84666254360788,0.0012683,1e-09,1e-09
4,2,1.5,-0.5,4,0,0,4,1,1,1.75,3.32936577553426,2.83896764519286,5.21720240437649,0.0012754,1e-09,1e-09
4,2,1.5,-0.75,4,2.368475785867e-16,8.81715163904221e-17,4,1,1,1.875,3.56717761664386,3.04175104842092,5.56216676181125,0.001533,1e-09,1e-09
5,2,0.25,-0.25,11,1.25462212321972e-16,2.97391481584088e-17,3,1,1,1.625,1.73618900984255,1.73434899538132,3.30379274511746,0.0049176,1e-09,1e-09
5,2,0.25,-0.5,11,1.21704497072738e-16,6.26129703477531e-17,3,1,1,1.75,1.86974201059967,1.8677604565645,3.7484405780398,0.0040345,1e-09,1e-09
5,2,0.25,-0.75,11,2.368475785867e-16,1.34735012524387e-17,3,1,1,1.875,2.00329501135679,2.00117191774768,4.1623978069615,0.0038592,1e-09,1e-09
5,2,0.5,-0.25,11,1.25408925161202e-16,3.85347811904766e-17,3,1,1,1.625,1.87355613088681,1.86435372599288,3.73748679254071,0.0038841,1e-09,1e-09
