n,q,sampled_rays,true_degree,simple_degree,deficit,baseline_recall,oracle_exact,baseline_exact,oracle_mean_seconds,baseline_mean_seconds,lifted_old_ray_degree,lifted_z_ray_degree
4,2,6,4,3,1,0.75,1,0,0.00522731666666667,0.00171653333333333,5,6
5,2,10,6,4,2,0.666666666666667,1,0,7.334e-05,7.187e-05,7,10
8,2,28,12,7,5,0.583333333333333,1,0,5.97857142857143e-05,6.42964285714286e-05,13,28
10,2,45,16,9,7,0.5625,1,0,6.61044444444444e-05,6.34488888888889e-05,17,45
20,2,50,36,19,17,0.527777777777778,1,0,6.5448e-05,6.7028e-05,37,190
50,2,50,96,49,47,0.510416666666667,1,0,0.000109578,0.00010846,97,1225
100,2,50,196,99,97,0.505102040816326,1,0,0.000144504,0.00015397,197,4950
200,2,50,396,199,197,0.502525252525252,1,0,0.000250252,0.000250916,397,19900
500,2,50,996,499,497,0.501004016064257,1,0,0.000425396,0.000431102,997,124750
6,3,20,9,5,4,0.555555555555556,1,0,4.692e-05,4.9575e-05,10,20
8,3,50,15,7,8,0.466666666666667,1,0,5.6548e-05,6.2502e-05,16,56
10,3,50,21,9,12,0.428571428571429,1,0,5.662e-05,5.8078e-05,22,120
15,3,50,36,14,22,0.388888888888889,1,0,6.5344e-05,7.5022e-05,37,455
20,3,50,51,19,32,0.372549019607843,1,0,6.3204e-05,6.58e-05,52,1140
30,3,50,81,29,52,0.358024691358025,1,0,7.2772e-05,7.3722e-05,82,4060
50,3,50,141,49,92,0.347517730496454,1,0,9.6126e-05,9.945e-05,142,19600
8,4,50,16,7,9,0.4375,1,0,6.0464e-05,5.5598e-05,17,70
10,5,50,25,9,16,0.36,1,0,5.8788e-05,6.0718e-05,26,252
12,6,50,36,11,25,0.305555555555556,1,0,5.9178e-05,6.1196e-05,37,924
