n,q,seed,orientation,cells,decomposition_passed,instance_passed,max_relative_depth_error,global_preserved,generation_seconds,cut_seconds,max_transformed_boundary_residual
6,2,1,NONE,26,1,1,2.05665849925102e-16,1,0.0036164,0.0174339,4.44089209850063e-16
6,2,1,HH,26,1,1,5.78300356394758e-16,1,0.0153275,0.0106748,3.5527136788005e-15
6,2,1,QR,26,1,1,5.07530525542929e-16,1,0.0057372,0.011171,0
6,2,2,NONE,26,1,1,1.26125265893749e-16,1,0.0035592,0.0100373,4.44089209850063e-16
6,2,2,HH,26,1,1,6.08699454204885e-16,1,0.0059846,0.0101479,8.88178419700125e-16
6,2,2,QR,26,1,1,4.08819296716522e-16,1,0.0043267,0.0098414,1.77635683940025e-15
6,2,3,NONE,26,1,1,2.28810570973364e-16,1,0.0038986,0.0101735,4.44089209850063e-16
6,2,3,HH,26,1,1,7.61295788314393e-16,1,0.0083527,0.0097888,1.77635683940025e-15
6,2,3,QR,26,1,1,5.07530525542929e-16,1,0.0052943,0.0100463,2.22044604925031e-15
6,3,1,NONE,66,1,1,2.53765262771464e-16,1,0.0039489,0.0288533,4.44089209850063e-16
6,3,1,HH,66,1,1,5.70971841235795e-16,1,0.0037355,0.0268564,3.5527136788005e-15
6,3,1,QR,66,1,1,7.61295788314393e-16,1,0.0047722,0.0262801,0
6,3,2,NONE,66,1,1,2.52290529437372e-16,1,0.0042141,0.0258793,6.66133814775094e-16
6,3,2,HH,66,1,1,8.88178419700125e-16,1,0.0037237,0.0282077,1.77635683940025e-15
6,3,2,QR,66,1,1,6.00148315162248e-16,1,0.0037093,0.0249393,1.77635683940025e-15
6,3,3,NONE,66,1,1,3.4371355788018e-16,1,0.0038076,0.0272118,4.44089209850063e-16
6,3,3,HH,66,1,1,8.88178419700125e-16,1,0.0041564,0.025055,1.77635683940025e-15
6,3,3,QR,66,1,1,5.75182046013417e-16,1,0.0045118,0.0254488,2.22044604925031e-15
8,3,1,NONE,1031,1,1,4.09494291997656e-16,1,0.0046793,0.4927139,4.44089209850063e-16
8,3,1,HH,1031,1,1,9.6020886568666e-16,1,0.0046004,0.4806362,3.5527136788005e-15
8,3,1,QR,1031,1,1,8.88178419700125e-16,1,0.005389,0.4673301,1.77635683940025e-15
8,3,2,NONE,1031,1,1,4.06794727761689e-16,1,0.0039478,0.4701471,4.44089209850063e-16
8,3,2,HH,1031,1,1,8.59756860167522e-16,1,0.0039173,0.4694565,1.77635683940025e-15
8,3,2,QR,1031,1,1,8.88178419700125e-16,1,0.0050757,0.4710458,1.77635683940025e-15
8,3,3,NONE,1031,1,1,4.5393215040502e-16,1,0.0042168,0.4619796,4.44089209850063e-16
8,3,3,HH,1031,1,1,8.96996771285014e-16,1,0.0043918,0.4640014,3.5527136788005e-15
8,3,3,QR,1031,1,1,1.25677283933077e-15,1,0.0039896,0.4711928,1.77635683940025e-15
