n,q,sampled_rays,true_degree,simple_degree,deficit,baseline_recall,oracle_exact,baseline_exact,oracle_mean_seconds,baseline_mean_seconds,lifted_old_ray_degree,lifted_z_ray_degree
4,2,6,4,3,1,0.75,1,0,0.00521965,0.00204346666666667,5,6
5,2,10,6,4,2,0.666666666666667,1,0,7.987e-05,6.265e-05,7,10
8,2,28,12,7,5,0.583333333333333,1,0,5.94642857142857e-05,6.27535714285714e-05,13,28
10,2,45,16,9,7,0.5625,1,0,0.000102002222222222,7.75666666666667e-05,17,45
20,2,50,36,19,17,0.527777777777778,1,0,8.461e-05,7.1014e-05,37,190
50,2,50,96,49,47,0.510416666666667,1,0,0.000180466,0.000163428,97,1225
100,2,50,196,99,97,0.505102040816326,1,0,0.00017591,0.000189748,197,4950
200,2,50,396,199,197,0.502525252525252,1,0,0.00024459,0.00022239,397,19900
500,2,50,996,499,497,0.501004016064257,1,0,0.000435402,0.000448634,997,124750
6,3,20,9,5,4,0.555555555555556,1,0,5.0535e-05,5.1935e-05,10,20
8,3,50,15,7,8,0.466666666666667,1,0,7.1958e-05,6.5408e-05,16,56
10,3,50,21,9,12,0.428571428571429,1,0,5.81e-05,6.1198e-05,22,120
15,3,50,36,14,22,0.388888888888889,1,0,0.000106878,0.000121122,37,455
20,3,50,51,19,32,0.372549019607843,1,0,9.0248e-05,0.000101912,52,1140
30,3,50,81,29,52,0.358024691358025,1,0,0.000111694,0.000107684,82,4060
50,3,50,141,49,92,0.347517730496454,1,0,0.000121662,0.00014134,142,19600
8,4,50,16,7,9,0.4375,1,0,0.000104304,8.1748e-05,17,70
10,5,50,25,9,16,0.36,1,0,8.3764e-05,8.849e-05,26,252
12,6,50,36,11,25,0.305555555555556,1,0,8.4032e-05,0.000100322,37,924
