n,q,seed,orientation,cells,decomposition_passed,instance_passed,max_blackbox_relative_depth_error,max_blackbox_level_residual,max_cut_recovery_error,global_preserved,generation_seconds,blackbox_seconds,cut_assembly_seconds,max_transformed_boundary_residual
6,2,1,NONE,26,1,1,2.68266635027851e-14,9.37028232783632e-14,2.12769067292163e-16,1,0.0033855,0.0071032,0.0123085,4.44089209850063e-16
6,2,1,HH,26,1,1,2.868369767718e-14,9.9475983006414e-14,5.07530525542929e-16,1,0.0130549,0.0075259,0.0071435,3.5527136788005e-15
6,2,1,QR,26,1,1,2.868369767718e-14,9.9475983006414e-14,5.07530525542929e-16,1,0.0052004,0.0073565,0.0068841,0
6,2,2,NONE,26,1,1,2.58373786089811e-14,9.03721542044877e-14,2.43803415269926e-16,1,0.0028887,0.0057774,0.0066962,4.44089209850063e-16
6,2,2,HH,26,1,1,2.58373786089811e-14,9.05941988094128e-14,6.13228945074786e-16,1,0.0045124,0.0071724,0.0069276,8.88178419700125e-16
6,2,2,QR,26,1,1,2.58373786089811e-14,8.97060203897126e-14,5.07530525542929e-16,1,0.0033014,0.0071084,0.0065682,1.77635683940025e-15
6,2,3,NONE,26,1,1,2.26685001790925e-14,7.94919685631612e-14,2.15278638876701e-16,1,0.0026904,0.0061078,0.0066323,4.44089209850063e-16
6,2,3,HH,26,1,1,2.26685001790925e-14,7.8159700933611e-14,6.34413156928661e-16,1,0.0063577,0.0071648,0.0072003,1.77635683940025e-15
6,2,3,QR,26,1,1,2.26685001790925e-14,7.90478793533111e-14,5.07530525542929e-16,1,0.0043657,0.0069448,0.0069941,2.22044604925031e-15
6,3,1,NONE,66,1,1,2.65224123599209e-14,9.28146448586631e-14,2.53765262771464e-16,1,0.0031513,0.0081669,0.0174599,4.44089209850063e-16
6,3,1,HH,66,1,1,2.65224123599209e-14,9.59232693276135e-14,5.07530525542929e-16,1,0.0033993,0.0097502,0.0173813,3.5527136788005e-15
6,3,1,QR,66,1,1,2.65224123599209e-14,9.2370555648813e-14,6.42454080418048e-16,1,0.003611,0.0097098,0.0180373,0
6,3,2,NONE,66,1,1,2.59902356607719e-14,9.10382880192628e-14,2.52285742663089e-16,1,0.0036709,0.0078481,0.0176459,6.66133814775094e-16
6,3,2,HH,66,1,1,2.59902356607719e-14,9.01501095995627e-14,6.04586875487368e-16,1,0.0034949,0.0095161,0.0178103,1.77635683940025e-15
6,3,2,QR,66,1,1,2.59902356607719e-14,9.05941988094128e-14,6.00162675485107e-16,1,0.0034253,0.0093892,0.0185224,1.77635683940025e-15
6,3,3,NONE,66,1,1,2.80895535362192e-14,9.81437153768638e-14,2.43065225926408e-16,1,0.0032624,0.0077341,0.0169741,4.44089209850063e-16
6,3,3,HH,66,1,1,2.80895535362192e-14,9.68114477473137e-14,7.61295788314393e-16,1,0.0033898,0.009185,0.0169971,1.77635683940025e-15
6,3,3,QR,66,1,1,2.80895535362192e-14,9.9031893796564e-14,6.47371086651328e-16,1,0.0033945,0.0092644,0.0169954,2.22044604925031e-15
8,3,1,NONE,1031,1,1,2.81121123943648e-14,9.85878045867139e-14,4.97151786436854e-16,1,0.003926,0.0228272,0.3061735,4.44089209850063e-16
8,3,1,HH,1031,1,1,2.91377489199716e-14,9.9475983006414e-14,9.7061470179258e-16,1,0.0038086,0.0275423,0.2977944,3.5527136788005e-15
8,3,1,QR,1031,1,1,2.81121123943648e-14,9.9475983006414e-14,9.16524552448041e-16,1,0.0039041,0.0280123,0.2957798,1.77635683940025e-15
8,3,2,NONE,1031,1,1,2.76611570000447e-14,9.68114477473137e-14,4.35455671410875e-16,1,0.0036686,0.0217515,0.2959211,4.44089209850063e-16
8,3,2,HH,1031,1,1,2.76611570000447e-14,9.76996261670138e-14,1.04387529213997e-15,1,0.0038336,0.0268166,0.2993161,1.77635683940025e-15
8,3,2,QR,1031,1,1,2.76611570000447e-14,9.72555369571637e-14,8.01545186069768e-16,1,0.0040476,0.0275116,0.29609,1.77635683940025e-15
8,3,3,NONE,1031,1,1,2.76922696975671e-14,9.68114477473137e-14,5.58815003418379e-16,1,0.0037326,0.0229583,0.2978269,4.44089209850063e-16
8,3,3,HH,1031,1,1,2.91152374444961e-14,9.9475983006414e-14,8.46093565095792e-16,1,0.0038147,0.0265699,0.2946022,3.5527136788005e-15
8,3,3,QR,1031,1,1,2.76922696975671e-14,9.59232693276135e-14,1.04731069944233e-15,1,0.0039734,0.0267385,0.2971378,1.77635683940025e-15
