n,q,orientation,seed,method,y0_source,value,objective_gap,maximum_violation,exitflag,iterations,seconds,at_pgm,at_global
4,2,NONE,11,alternating LP,0,0,1,0,1,1,0.5337,1,0
4,2,NONE,11,fmincon SQP,0,6.95160093149135e-32,1,6.16297582203915e-33,1,2,0.3151614,1,0
4,2,NONE,11,alternating LP,0.1,0,1,0,1,2,0.1659397,1,0
4,2,NONE,11,fmincon SQP,0.1,-6.09169270074646e-32,1,5.46811755127867e-32,1,2,0.0297253,1,0
4,2,NONE,11,alternating LP,0.2,0,1,0,1,2,0.0138581,1,0
4,2,NONE,11,fmincon SQP,0.2,4.989204297425e-33,1,1.23259516440783e-32,1,2,0.0246129,1,0
4,2,NONE,11,alternating LP,0.3,0,1,0,1,2,0.009789,1,0
4,2,NONE,11,fmincon SQP,0.3,-1.93315715258784e-32,1,6.16297582203915e-32,1,3,0.0179105,1,0
4,2,NONE,11,alternating LP,0.4,-1,0,0,1,2,0.0095362,0,1
4,2,NONE,11,fmincon SQP,0.4,-2.39872297177446e-32,1,4.93038065763132e-32,1,4,0.0965729,1,0
4,2,NONE,11,alternating LP,0.5,-1,0,0,1,2,0.008827,0,1
4,2,NONE,11,fmincon SQP,0.5,-1.86995884810577e-32,1,2.46519032881566e-32,1,4,0.0043314,1,0
4,2,NONE,11,alternating LP,0.6,-1,0,0,1,2,0.0080451,0,1
4,2,NONE,11,fmincon SQP,0.6,-7.74460534039275e-32,1,1.06802199925271e-31,1,4,0.0029247,1,0
4,2,NONE,11,alternating LP,0.7,-1,0,0,1,2,0.008323,0,1
4,2,NONE,11,fmincon SQP,0.7,-1,0,0,1,8,0.0033604,0,1
4,2,NONE,11,alternating LP,0.8,-1,0,0,1,2,0.0088955,0,1
4,2,NONE,11,fmincon SQP,0.8,-1,0,0,1,9,0.0033121,0,1
4,2,NONE,11,alternating LP,0.9,-1,0,0,1,2,0.0083343,0,1
4,2,NONE,11,fmincon SQP,0.9,-1,0,0,1,8,0.0032045,0,1
4,2,NONE,11,alternating LP,1,-1,0,0,1,1,0.0042083,0,1
4,2,NONE,11,fmincon SQP,1,-1,0,0,1,8,0.0029953,0,1
6,2,HH,12,alternating LP,0,-15.4967027343725,1,7.32747196252603e-15,1,1,0.004671,1,0
6,2,HH,12,fmincon SQP,0,-15.4967027343725,0.999999999999998,4.44089209850063e-16,1,3,0.0032002,1,0
6,2,HH,12,alternating LP,0.1,-15.4967027343725,1,7.32747196252603e-15,1,2,0.0096694,1,0
