n,q,seed,orientation,cells,decomposition_passed,instance_passed,max_blackbox_relative_depth_error,max_blackbox_level_residual,max_cut_recovery_error,global_preserved,generation_seconds,blackbox_seconds,cut_assembly_seconds,max_transformed_boundary_residual
6,2,1,NONE,26,1,1,2.68266635027851e-14,9.37028232783632e-14,2.12769067292163e-16,1,0.0032329,0.0060217,0.0117067,4.44089209850063e-16
6,2,1,HH,26,1,1,2.868369767718e-14,9.9475983006414e-14,5.07530525542929e-16,1,0.0034104,0.0074342,0.0071691,3.5527136788005e-15
6,2,1,QR,26,1,1,2.868369767718e-14,9.9475983006414e-14,5.07530525542929e-16,1,0.0035372,0.0074128,0.0072821,0
6,2,2,NONE,26,1,1,2.58373786089811e-14,9.03721542044877e-14,2.43803415269926e-16,1,0.0031565,0.0061146,0.0071172,4.44089209850063e-16
6,2,2,HH,26,1,1,2.58373786089811e-14,9.05941988094128e-14,6.13228945074786e-16,1,0.0033096,0.0073361,0.0074623,8.88178419700125e-16
6,2,2,QR,26,1,1,2.58373786089811e-14,8.97060203897126e-14,5.07530525542929e-16,1,0.003164,0.0073257,0.0069333,1.77635683940025e-15
6,2,3,NONE,26,1,1,2.26685001790925e-14,7.94919685631612e-14,2.15278638876701e-16,1,0.0028712,0.0063518,0.0072915,4.44089209850063e-16
6,2,3,HH,26,1,1,2.26685001790925e-14,7.8159700933611e-14,6.34413156928661e-16,1,0.0035385,0.0072884,0.0072871,1.77635683940025e-15
6,2,3,QR,26,1,1,2.26685001790925e-14,7.90478793533111e-14,5.07530525542929e-16,1,0.0032496,0.0071776,0.0073882,2.22044604925031e-15
6,3,1,NONE,66,1,1,2.65224123599209e-14,9.28146448586631e-14,2.53765262771464e-16,1,0.0033644,0.0083548,0.018339,4.44089209850063e-16
6,3,1,HH,66,1,1,2.65224123599209e-14,9.59232693276135e-14,5.07530525542929e-16,1,0.0035014,0.0100267,0.0184304,3.5527136788005e-15
6,3,1,QR,66,1,1,2.65224123599209e-14,9.2370555648813e-14,6.42454080418048e-16,1,0.003561,0.0099604,0.0182298,0
6,3,2,NONE,66,1,1,2.59902356607719e-14,9.10382880192628e-14,2.52285742663089e-16,1,0.0034109,0.0086866,0.0186795,6.66133814775094e-16
6,3,2,HH,66,1,1,2.59902356607719e-14,9.01501095995627e-14,6.04586875487368e-16,1,0.0036741,0.0102471,0.0185482,1.77635683940025e-15
6,3,2,QR,66,1,1,2.59902356607719e-14,9.05941988094128e-14,6.00162675485107e-16,1,0.0036353,0.0098816,0.0180332,1.77635683940025e-15
6,3,3,NONE,66,1,1,2.80895535362192e-14,9.81437153768638e-14,2.43065225926408e-16,1,0.0034607,0.0082359,0.0179425,4.44089209850063e-16
6,3,3,HH,66,1,1,2.80895535362192e-14,9.68114477473137e-14,7.61295788314393e-16,1,0.0035974,0.0099937,0.0179997,1.77635683940025e-15
6,3,3,QR,66,1,1,2.80895535362192e-14,9.9031893796564e-14,6.47371086651328e-16,1,0.003615,0.009743,0.0180762,2.22044604925031e-15
8,3,1,NONE,1031,1,1,2.81121123943648e-14,9.85878045867139e-14,4.97151786436854e-16,1,0.0040639,0.022839,0.3150937,4.44089209850063e-16
8,3,1,HH,1031,1,1,2.91377489199716e-14,9.9475983006414e-14,9.7061470179258e-16,1,0.0039613,0.0277946,0.3048318,3.5527136788005e-15
8,3,1,QR,1031,1,1,2.81121123943648e-14,9.9475983006414e-14,9.16524552448041e-16,1,0.004203,0.0280132,0.3024671,1.77635683940025e-15
8,3,2,NONE,1031,1,1,2.76611570000447e-14,9.68114477473137e-14,4.35455671410875e-16,1,0.0037506,0.0223228,0.312086,4.44089209850063e-16
8,3,2,HH,1031,1,1,2.76611570000447e-14,9.76996261670138e-14,1.04387529213997e-15,1,0.0040297,0.0292484,0.3091141,1.77635683940025e-15
8,3,2,QR,1031,1,1,2.76611570000447e-14,9.72555369571637e-14,8.01545186069768e-16,1,0.003954,0.0281571,0.3057379,1.77635683940025e-15
8,3,3,NONE,1031,1,1,2.76922696975671e-14,9.68114477473137e-14,5.58815003418379e-16,1,0.0038109,0.0228653,0.2985607,4.44089209850063e-16
8,3,3,HH,1031,1,1,2.91152374444961e-14,9.9475983006414e-14,8.46093565095792e-16,1,0.003949,0.027364,0.3074662,3.5527136788005e-15
8,3,3,QR,1031,1,1,2.76922696975671e-14,9.59232693276135e-14,1.04731069944233e-15,1,0.0039295,0.0275319,0.3053916,1.77635683940025e-15
