n,q,orientation,seed,method,y0_source,value,objective_gap,maximum_violation,exitflag,iterations,seconds,at_pgm,at_global
4,2,NONE,11,alternating LP,0,0,1,0,1,1,0.0321236,1,0
4,2,NONE,11,fmincon SQP,0,6.95160093149135e-32,1,6.16297582203915e-33,1,2,0.0240441,1,0
4,2,NONE,11,alternating LP,0.1,0,1,0,1,2,0.0113199,1,0
4,2,NONE,11,fmincon SQP,0.1,-6.09169270074646e-32,1,5.46811755127867e-32,1,2,0.0025521,1,0
4,2,NONE,11,alternating LP,0.2,0,1,0,1,2,0.0107442,1,0
4,2,NONE,11,fmincon SQP,0.2,4.989204297425e-33,1,1.23259516440783e-32,1,2,0.0023213,1,0
4,2,NONE,11,alternating LP,0.3,0,1,0,1,2,0.0112116,1,0
4,2,NONE,11,fmincon SQP,0.3,-1.93315715258784e-32,1,6.16297582203915e-32,1,3,0.0025519,1,0
4,2,NONE,11,alternating LP,0.4,-1,0,0,1,2,0.0103676,0,1
4,2,NONE,11,fmincon SQP,0.4,-2.39872297177446e-32,1,4.93038065763132e-32,1,4,0.0041859,1,0
4,2,NONE,11,alternating LP,0.5,-1,0,0,1,2,0.0107074,0,1
4,2,NONE,11,fmincon SQP,0.5,-1.86995884810577e-32,1,2.46519032881566e-32,1,4,0.0039136,1,0
4,2,NONE,11,alternating LP,0.6,-1,0,0,1,2,0.0106571,0,1
4,2,NONE,11,fmincon SQP,0.6,-7.74460534039275e-32,1,1.06802199925271e-31,1,4,0.0028402,1,0
4,2,NONE,11,alternating LP,0.7,-1,0,0,1,2,0.010581,0,1
4,2,NONE,11,fmincon SQP,0.7,-1,0,0,1,8,0.0035045,0,1
4,2,NONE,11,alternating LP,0.8,-1,0,0,1,2,0.0106509,0,1
4,2,NONE,11,fmincon SQP,0.8,-1,0,0,1,9,0.0037858,0,1
4,2,NONE,11,alternating LP,0.9,-1,0,0,1,2,0.0146697,0,1
4,2,NONE,11,fmincon SQP,0.9,-1,0,0,1,8,0.0056514,0,1
4,2,NONE,11,alternating LP,1,-1,0,0,1,1,0.0065971,0,1
4,2,NONE,11,fmincon SQP,1,-1,0,0,1,8,0.003637,0,1
